,Label,Top 10 Skills
0,HR,"['business', 'support', 'database', 'documentation', 'project management', 'marketing', 'software', 'business administration', 'design', 'communications']"
1,DESIGNER,"['design', 'business', 'software', 'support', 'marketing', 'engineering', 'graphic design', 'material', 'advertising', 'testing']"
2,INFORMATION-TECHNOLOGY,"['support', 'software', 'business', 'security', 'windows', 'server', 'design', 'project management', 'database', 'documentation']"
3,TEACHER,"['support', 'business', 'material', 'schedule', 'design', 'play', 'testing', 'certificate', 'collaboration', 'documentation']"
4,ADVOCATE,"['support', 'business', 'database', 'documentation', 'monitoring', 'schedule', 'payments', 'software', 'marketing', 'security']"
5,BUSINESS-DEVELOPMENT,"['business', 'marketing', 'support', 'software', 'design', 'advertising', 'finance', 'project management', 'business administration', 'communications']"
6,HEALTHCARE,"['support', 'business', 'marketing', 'documentation', 'database', 'accounting', 'software', 'design', 'certificate', 'project management']"
7,FITNESS,"['business', 'support', 'marketing', 'schedule', 'design', 'communications', 'accounting', 'database', 'software', 'business administration']"
8,AGRICULTURE,"['business', 'support', 'design', 'monitoring', 'software', 'marketing', 'documentation', 'material', 'database', 'project management']"
9,BPO,"['support', 'business', 'monitoring', 'documentation', 'marketing', 'software', 'languages', 'commerce', 'windows', 'design']"
10,SALES,"['business', 'marketing', 'support', 'payments', 'schedule', 'security', 'advertising', 'communications', 'design', 'database']"
11,CONSULTANT,"['business', 'support', 'software', 'design', 'project management', 'documentation', 'marketing', 'database', 'windows', 'testing']"
12,DIGITAL-MEDIA,"['marketing', 'business', 'support', 'design', 'software', 'advertising', 'analytics', 'communications', 'project management', 'twitter']"
13,AUTOMOBILE,"['support', 'business', 'database', 'software', 'design', 'documentation', 'testing', 'payments', 'project management', 'schedule']"
14,CHEF,"['chef', 'business', 'marketing', 'support', 'design', 'schedule', 'certificate', 'accounting', 'software', 'project management']"
15,FINANCE,"['finance', 'accounting', 'business', 'software', 'support', 'marketing', 'documentation', 'business administration', 'payments', 'project management']"
16,APPAREL,"['business', 'design', 'marketing', 'support', 'schedule', 'software', 'communications', 'documentation', 'monitoring', 'database']"
17,ENGINEERING,"['engineering', 'design', 'software', 'support', 'testing', 'business', 'documentation', 'project management', 'material', 'schedule']"
18,ACCOUNTANT,"['accounting', 'business', 'software', 'finance', 'payments', 'support', 'documentation', 'business administration', 'monitoring', 'database']"
19,CONSTRUCTION,"['design', 'business', 'schedule', 'project management', 'material', 'engineering', 'support', 'marketing', 'software', 'testing']"
20,PUBLIC-RELATIONS,"['marketing', 'communications', 'business', 'support', 'advertising', 'design', 'software', 'project management', 'database', 'twitter']"
21,BANKING,"['business', 'support', 'marketing', 'finance', 'documentation', 'software', 'accounting', 'project management', 'database', 'business administration']"
22,ARTS,"['support', 'design', 'business', 'marketing', 'software', 'documentation', 'communications', 'testing', 'material', 'schedule']"
23,AVIATION,"['support', 'business', 'security', 'documentation', 'software', 'material', 'testing', 'engineering', 'certificate', 'design']"
